ziplength,complength,custlength,Product
3,20,813,0
3,23,966,2
3,14,520,0
3,14,506,0
3,19,948,0
3,37,1067,3
3,24,316,0
3,12,1472,1
3,29,1132,3
3,37,999,1
3,22,1011,0
3,16,1044,0
3,19,1708,1
5,24,1274,0
3,8,1522,0
3,37,1060,0
3,14,395,0
3,32,1534,1
3,21,3180,1
3,28,1039,1
3,26,926,1
3,21,2856,1
3,24,563,1
3,24,799,1
5,32,701,1
3,11,359,2
3,33,625,0
3,26,134,1
3,21,1240,1
5,19,2173,1
5,24,1264,1
3,33,679,0
3,21,2352,1
3,32,863,0
3,12,2208,0
5,14,186,0
3,24,267,1
3,23,2662,2
5,32,2835,1
3,37,1631,0
3,39,1028,1
3,20,900,1
3,20,473,0
3,23,391,2
3,37,2754,0
3,33,1609,0
3,20,610,1
3,21,3215,1
3,26,2190,1
5,14,3104,0
3,37,994,1
5,27,868,1
3,33,536,1
3,20,439,0
3,21,1303,1
3,32,1530,1
3,19,987,0
3,20,738,0
3,21,1709,0
3,9,1447,2
5,24,873,0
3,13,637,0
3,21,966,1
3,19,667,0
3,24,1233,0
3,39,969,1
3,24,1258,0
3,21,1374,1
3,14,500,0
3,24,459,1
3,23,872,2
3,13,526,1
3,9,662,2
3,33,1386,0
3,18,5642,1
3,21,268,0
3,11,308,2
3,27,619,1
3,20,1069,3
3,21,288,1
3,23,288,2
3,23,577,2
3,23,949,2
3,27,320,1
5,14,1073,0
5,14,553,0
3,14,3130,0
3,23,681,2
3,24,819,1
3,9,785,2
3,28,1030,1
3,20,1334,1
3,48,841,1
3,19,2278,1
3,14,593,0
3,28,1318,1
5,26,492,0
3,9,165,2
3,22,908,0
3,27,4362,0
3,20,130,3
3,28,3730,1
3,33,445,1
3,19,717,0
3,23,1136,2
3,28,525,1
3,22,5766,1
3,20,681,0
3,37,351,0
3,33,832,0
3,22,306,1
3,21,2346,0
5,21,929,1
3,33,1032,0
3,14,1930,0
3,37,1574,0
3,31,1030,3
3,21,1256,0
3,23,1406,2
3,27,1341,3
3,30,2396,1
3,27,685,1
3,20,698,0
3,24,2685,0
3,33,3767,1
3,27,1073,1
3,14,2004,0
3,25,595,1
3,36,673,3
3,27,805,1
3,27,990,0
3,13,988,1
3,33,719,0
3,24,1380,0
3,24,2709,0
3,19,828,0
5,36,1620,3
3,14,2448,0
3,19,3112,0
3,14,1668,0
3,33,92,0
3,20,352,3
3,33,1591,0
3,25,1339,1
3,13,5450,1
5,32,432,3
3,21,181,0
3,29,1083,2
3,24,396,0
3,23,438,2
3,31,1722,3
3,14,866,0
3,33,166,0
5,13,773,1
3,33,663,0
3,27,733,0
3,23,1160,2
3,19,1385,0
3,20,481,1
3,14,2272,0
3,24,1081,0
3,21,1323,0
5,23,414,3
3,24,696,1
3,24,385,0
3,38,2352,3
3,14,1927,0
3,28,467,3
3,14,701,0
3,19,2799,1
3,28,1350,0
5,12,456,2
3,28,1083,0
3,8,379,0
3,36,720,0
3,24,1955,1
3,41,691,1
3,22,361,1
3,13,53,0
3,14,1057,0
3,19,509,0
3,22,4722,0
3,23,620,2
3,19,409,1
3,21,1112,1
3,14,633,0
3,27,851,0
3,12,306,2
3,26,699,0
3,19,752,0
5,19,159,0
3,33,416,0
3,39,449,1
3,24,1370,0
3,8,1291,0
3,13,500,0
3,14,1244,0
3,32,1371,3
3,33,224,0
3,24,965,0
3,33,1122,0
5,25,574,0
3,19,297,0
3,21,1045,0
3,33,579,1
3,13,173,1
3,15,1918,2
3,21,1203,1
5,23,438,0
5,19,594,0
3,33,2002,0
3,20,2528,1
3,20,1316,1
3,21,114,2
3,37,1419,1
3,15,1094,2
3,26,1767,0
3,14,1130,0
3,9,1935,2
3,31,2553,3
3,13,2012,1
3,15,885,2
3,9,1081,2
3,21,1568,1
3,24,2057,1
3,19,1250,1
3,25,500,2
3,26,158,1
3,9,355,2
3,9,1231,1
3,33,423,3
3,13,643,2
3,12,622,1
3,13,898,1
3,9,1773,3
3,23,2887,2
3,19,1775,3
3,19,460,1
3,33,1416,1
3,14,4145,0
3,27,1382,1
3,23,283,2
3,20,584,0
3,17,2952,1
5,21,582,1
3,15,632,2
3,33,4552,0
3,41,2218,1
3,40,1666,1
3,21,1051,1
3,37,282,0
3,36,613,3
3,21,1363,0
3,12,1066,2
3,20,615,1
5,38,201,3
3,19,1184,1
3,14,2607,0
3,19,590,0
5,21,2434,0
3,9,2300,2
3,36,986,3
3,22,421,0
3,13,3260,1
3,24,316,1
3,13,567,1
3,33,898,1
3,39,2018,1
3,19,557,0
5,20,175,1
5,33,668,0
3,36,247,3
3,14,1787,0
3,13,543,1
5,19,1133,0
3,12,494,2
3,14,1620,0
3,19,2131,1
3,26,489,0
3,13,1354,1
3,37,1245,0
3,22,1181,0
3,23,794,2
3,22,2404,0
3,9,837,2
3,24,1835,1
3,20,2348,0
3,19,615,1
3,14,1724,0
3,28,478,1
3,29,461,3
3,14,33,0
3,37,1385,0
3,12,1001,0
3,22,1514,1
3,13,212,0
3,27,563,1
3,20,1027,1
3,23,4238,2
3,22,180,0
5,12,1366,2
3,24,1840,0
3,33,962,0
3,18,891,0
3,21,445,0
3,19,444,0
3,24,1261,1
3,22,2204,1
3,19,866,0
3,27,409,1
3,24,920,1
3,33,126,0
5,28,664,0
3,27,290,1
3,34,629,3
3,13,714,1
3,31,1338,0
3,19,1019,0
3,32,220,1
3,18,1703,1
3,9,804,2
3,20,1256,0
3,19,1594,1
3,14,275,0
3,12,2285,0
3,13,678,0
3,11,223,2
3,17,943,1
3,9,1355,1
3,22,594,1
5,19,1148,0
3,27,999,1
3,20,2311,1
3,26,1610,1
3,14,921,0
3,41,669,1
3,14,1750,0
3,23,704,2
3,82,2543,2
3,33,1216,3
3,12,266,0
3,12,163,1
3,20,1019,1
3,22,1132,0
3,13,563,1
3,23,1329,2
3,33,1720,0
3,19,740,0
5,33,137,0
3,22,944,0
5,27,850,1
3,13,5491,1
3,11,258,2
3,9,1711,2
3,20,1834,1
3,24,995,0
3,14,1554,0
3,20,1415,3
3,9,1035,2
3,33,1212,1
3,26,1609,1
3,27,73,0
3,36,2396,3
3,33,10885,1
3,12,568,3
3,37,1135,1
3,14,461,0
3,24,415,0
3,32,506,1
3,12,243,2
3,30,1564,1
3,9,514,2
3,9,148,2
5,19,4554,1
3,19,486,0
3,22,974,0
3,19,547,0
3,12,1003,2
3,33,861,0
3,20,1791,0
3,9,1402,2
3,14,1277,0
3,13,627,1
3,14,718,0
5,39,901,1
3,37,2703,0
3,82,1934,2
5,13,399,0
5,14,573,0
3,8,571,0
3,19,1483,3
3,19,591,1
3,15,1499,2
3,24,1416,1
3,33,362,0
3,14,3540,0
5,23,296,3
3,37,522,1
3,38,821,3
3,14,399,0
3,19,1502,1
3,12,442,0
5,36,1761,0
3,38,490,2
3,19,2115,1
3,28,1625,0
3,27,815,1
3,14,338,0
3,20,1449,0
3,24,1742,0
3,24,1026,0
3,29,255,3
3,24,423,1
3,13,705,0
3,28,1796,1
3,33,1415,0
3,22,1429,0
3,22,1300,2
3,19,2031,0
3,23,1179,2
3,33,4092,1
3,20,4320,0
3,39,770,1
3,27,912,0
3,19,903,0
3,19,1860,0
3,27,600,0
5,23,204,2
3,37,758,1
3,37,2287,0
3,24,3030,1
3,14,2379,0
3,26,430,0
3,13,1547,0
3,20,2337,0
5,14,1020,0
3,24,2827,1
3,20,1813,0
3,20,1288,0
3,29,1433,1
3,13,4181,1
3,24,661,0
5,19,400,0
3,12,1412,0
3,23,653,2
3,19,523,0
3,37,986,1
3,12,637,0
3,12,2284,2
3,20,1453,0
3,24,834,1
3,39,3924,1
3,36,3646,0
3,27,3366,1
3,36,867,3
3,24,466,0
5,39,906,1
3,33,1627,0
3,23,769,2
3,21,3366,1
3,14,315,0
3,33,557,0
3,14,629,0
3,24,419,0
3,19,974,1
3,23,793,2
3,13,1843,1
3,23,1645,2
3,32,1873,1
3,24,660,0
3,14,1861,0
3,27,862,1
3,25,885,0
3,32,792,1
5,13,4687,1
3,24,1667,0
3,14,1574,0
3,12,1290,0
3,20,4555,0
3,24,564,1
3,16,10524,0
3,28,1223,1
5,23,901,2
3,24,350,0
3,20,3115,1
3,37,2995,0
3,24,1476,1
3,23,227,2
3,33,101,3
3,27,290,0
3,32,34,1
3,14,999,0
3,11,154,0
3,19,4457,1
5,24,6962,1
3,27,1083,0
3,14,1614,0
3,24,3240,0
3,20,2834,1
3,18,1812,1
3,23,680,2
3,12,996,0
3,12,6054,2
5,31,895,3
3,37,665,0
3,37,709,1
3,24,1316,0
3,13,958,1
3,13,779,3
3,34,112,0
3,32,1645,1
3,27,2527,1
5,33,3939,2
3,20,2207,0
3,38,1959,3
3,38,1281,3
3,9,842,2
3,27,942,0
3,27,683,0
3,21,1662,1
3,20,1454,0
5,14,763,0
3,29,4627,1
3,33,1244,1
3,20,719,3
3,37,516,0
3,33,1766,0
3,22,1033,0
3,22,2203,1
3,11,510,2
3,32,922,1
3,23,984,2
3,18,542,1
3,20,3249,1
3,21,1449,0
3,21,5081,1
5,32,363,1
3,27,887,0
3,14,566,0
3,14,5305,0
3,27,1703,0
3,38,437,3
3,20,965,0
3,23,1582,2
5,24,1106,0
5,13,731,3
3,14,592,0
3,13,1131,1
5,23,1407,2
3,21,1272,1
3,20,1347,0
3,20,1073,0
3,18,790,1
3,31,869,0
3,37,732,0
3,22,767,0
3,12,2650,3
3,29,1662,2
3,53,993,2
3,20,931,1
3,36,2392,3
5,13,5923,0
3,27,830,1
5,37,467,0
3,37,1645,0
3,22,175,0
3,33,1032,1
3,24,797,0
3,20,3149,0
5,14,1703,3
3,9,444,2
5,19,3965,1
3,33,643,0
3,33,906,0
3,22,3984,0
3,27,933,0
3,12,1911,2
3,23,2066,2
3,14,430,1
3,18,10749,1
3,19,3673,1
3,20,1412,1
3,13,1405,1
3,20,1523,1
3,13,701,0
3,32,600,1
3,19,690,0
3,9,1967,2
3,14,1174,1
5,19,781,3
3,21,10688,1
3,14,1962,0
5,35,5551,1
5,23,1305,2
3,21,623,1
5,23,567,2
3,20,403,0
3,23,1598,2
3,37,598,1
3,9,764,2
3,14,168,0
3,21,1670,1
3,24,1656,1
3,21,2473,3
3,17,597,1
3,19,1413,0
3,13,1315,1
5,31,2029,3
3,19,2535,3
5,21,671,0
3,22,2770,1
3,35,290,3
5,19,749,0
3,9,721,2
3,24,1348,1
3,9,1852,2
3,19,2200,3
3,25,482,0
3,21,838,0
5,12,2816,1
3,19,1935,1
5,27,767,0
3,23,617,0
3,11,939,2
3,24,5694,0
3,30,392,1
3,23,1210,2
3,29,4336,3
3,21,825,1
3,14,153,0
3,31,326,3
3,20,1612,3
3,24,3175,1
3,9,4591,2
3,13,798,1
3,13,1095,1
3,9,1100,1
3,9,717,2
3,20,3380,0
3,24,279,0
3,20,858,0
3,24,808,0
3,19,405,0
3,39,237,1
3,12,1298,0
3,39,1387,1
3,20,2529,1
3,13,854,1
3,11,720,2
3,32,2898,1
3,38,590,3
3,24,2645,0
3,18,1512,1
3,9,133,2
3,27,316,1
3,23,2135,2
5,27,2718,1
3,23,1105,2
3,33,1207,0
3,36,1690,3
3,27,599,1
3,23,434,2
3,14,318,0
3,22,812,0
5,26,258,3
3,20,3611,1
3,36,120,3
3,24,3985,1
3,13,4006,0
3,21,172,0
3,21,2242,3
5,37,781,0
3,33,616,0
3,25,850,0
3,26,403,0
3,22,308,1
3,22,3050,3
3,20,109,1
3,33,103,0
3,20,2208,0
3,37,1142,0
3,25,2510,1
3,20,1598,0
3,22,812,2
3,24,1092,1
3,20,1320,1
3,21,2031,1
3,27,1437,2
3,24,1421,0
5,22,2863,2
3,19,1211,0
5,19,3735,1
3,38,507,3
3,24,122,0
3,36,466,1
3,23,594,2
3,13,4151,1
3,37,2020,1
3,35,593,0
